filme,avaliacao
Roma,"Filme emocionante, com fotografia impecável e uma história sensível que marca."
Roma,"O filme é bem produzido e tecnicamente correto, mas não despertou grandes emoções."
Roma,"Achei arrastado e cansativo, tive dificuldade de me envolver com a história."
O Irlandês,"Atuações excelentes e direção madura, um grande filme do Scorsese."
O Irlandês,"É um filme longo, com ritmo constante e foco em diálogos e personagens."
O Irlandês,"Muito longo e entediante, perdi o interesse antes da metade."
História de um Casamento,"Intenso e realista, atuações incríveis e roteiro muito bem escrito."
História de um Casamento,"O filme retrata um divórcio de forma direta e sem exageros."
História de um Casamento,"História pesada e repetitiva, me deixou desconfortável e cansado."
Bird Box,"Suspense envolvente que prende a atenção do começo ao fim."
Bird Box,"O filme apresenta uma proposta interessante e segue um padrão comum do gênero."
Bird Box,"Roteiro fraco e cheio de conveniências, não funcionou pra mim."
Alerta Vermelho,"Filme divertido e carismático, ótimo para entretenimento leve."
Alerta Vermelho,"Produção simples, com humor previsível e ação moderada."
Alerta Vermelho,"Muito genérico e sem graça, parece feito sem criatividade."
Não Olhe Para Cima,"Satírico e inteligente, faz críticas sociais de forma corajosa."
Não Olhe Para Cima,"O filme usa humor para abordar temas atuais de maneira direta."
Não Olhe Para Cima,"Exagerado e irritante, a mensagem se perde no excesso."
